,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,"Carbono negro
(Gg)"
[3A2] Gestión del estiércol,,"15,308.262","5,092.630",,,,,,,,,,,,,,,,,,,,,,,,,"20,400.892",,,
[3A2a] Bovinos,,"8,789.851","4,414.266",,,,,,,,,,,,,,,,,,,,,,,,,"13,204.117",,,
[3A2b] Búfalos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3A2c] Ovinos,,11.160,23.880,,,,,,,,,,,,,,,,,,,,,,,,,35.040,,,
[3A2d] Caprino,,13.540,21.890,,,,,,,,,,,,,,,,,,,,,,,,,35.430,,,
[3A2e] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3A2f] Caballos,,102.626,,,,,,,,,,,,,,,,,,,,,,,,,,102.626,,,
[3A2g] Mulas y asnos,,41.745,,,,,,,,,,,,,,,,,,,,,,,,,,41.745,,,
[3A2h] Porcinos,,"5,182.280",399.442,,,,,,,,,,,,,,,,,,,,,,,,,"5,581.722",,,
[3A2i] Aves de corral,,"1,167.060",233.152,,,,,,,,,,,,,,,,,,,,,,,,,"1,400.212",,,
[3A2g] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B] Tierra,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B1] Tierra forestales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
[3B1a] Tierras forestales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B1b] Tierras convertidas a tierras forestales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B2] Tierra de cultivo,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
[3B2a] Tierras de cultivo que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B2b] Tierras convertidas a tierras de cultivo,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B3] Praderas,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
[3B3a] Praderas que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B3b] Tierras convertidas en praderas,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B4] Humedales,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
[3B4a] Humedales que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B4b] Tierras convertidas en humedales,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B5] Asentamientos ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
[3B5a] Asentamientos que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B5b] Tierras convertidas en asentamientos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B6] Otras tierras ,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,
[3B6a] Otras tierras que permanecen como tal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3B6b] Tierras convertidas en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3C] Fuentes agregadas y fuentes de emisión no CO2 de la tierra,"1,098.85","1,264.66","18,009.371",,,,,,,,,,,,,,,,,,,,,,,,,"20,372.884",,,5.186
[3C1] Emisiones de GEI por quemado de biomasa,0.000,"1,044.742",382.122,,,,,,,,,,,,,,,,,,,,,,,,,"1,426.865",,,5.186
[3C1a] Emisiones de quemado de biomasa en tierras forestales,,459.720,178.040,,,,,,,,,,,,,,,,,,,,,,,,,637.760,,,1.778
[3C1b] Emisiones de quemado de biomasa en tierras de cultivo,,536.732,162.352,,,,,,,,,,,,,,,,,,,,,,,,,699.085,,,3.143
[3C1c] Emisiones de quemado de biomasa en tierras praderas,,48.290,41.730,,,,,,,,,,,,,,,,,,,,,,,,,90.020,,,0.266
[3C1d] Emisiones de quemado de biomasa en otras tierras,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[3C2] Encalado,33.300,,,,,,,,,,,,,,,,,,,,,,,,,,,33.300,,,
[3C3] Aplicación de urea,"1,065.550",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,065.550",,,
[3C4] Emisiones directas de los N2O de los suelos gestionados,,,"10,682.726",,,,,,,,,,,,,,,,,,,,,,,,,"10,682.726",,,
[3C5] Emisiones indirectas de los N2O de los suelos gestionados,,,"5,090.483",,,,,,,,,,,,,,,,,,,,,,,,,"5,090.483",,,
[3C6] Emisiones indirectas de los N2O de la gestión del estiércol,,,"1,854.040",,,,,,,,,,,,,,,,,,,,,,,,,"1,854.040",,,
[3C7] Cultivo del arroz,,219.920,,,,,,,,,,,,,,,,,,,,,,,,,,219.920,,,
[3D] Otros,"-11,776.795",,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,776.795",,,
[3D1] Productos de madera recolectada,-11776.79546,,,,,,,,,,,,,,,,,,,,,,,,,,,"-11,776.795",,,
[3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
[4] Residuos,544.667,"22,899.443","4,082.814",,,,,,,,,,,,,,,,,,,,,,,,,"27,526.924",,,1.833
[4A] Eliminación de residuos sólidos,,"6,538.943",0.000,,,,,,,,,,,,,,,,,,,,,,,,,"6,538.943",,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,"2,812.293",,,,,,,,,,,,,,,,,,,,,,,,,,"2,812.293",,,
[4A2] Sitios no controlados de eliminación de residuos ,,"1,213.386",,,,,,,,,,,,,,,,,,,,,,,,,,"1,213.386",,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,"2,513.263",,,,,,,,,,,,,,,,,,,,,,,,,,"2,513.263",,,
[4B] Tratamiento biológico de los residuos sólidos,,98.711,70.067,,,,,,,,,,,,,,,,,,,,,,,,,168.778,,,
[4C] Incineración y quema a cielo abierto  de residuos,544.667,"1,085.155",237.007,,,,,,,,,,,,,,,,,,,,,,,,,"1,866.830",,,1.833
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,0.071,0.000,0.002,,,,,,,,,,,,,,,,,,,,,,,,,0.074,,,
[4C2] Quema a cielo abierto de residuos sólidos,544.596,"1,085.155",237.005,,,,,,,,,,,,,,,,,,,,,,,,,"1,866.756",,,1.833
[4D] Tratamiento y eliminación de aguas residuales,,"15,176.634","3,775.739",,,,,,,,,,,,,,,,,,,,,,,,,"18,952.373",,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,"4,613.553","3,775.739",,,,,,,,,,,,,,,,,,,,,,,,,"8,389.292",,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,"10,563.081",,,,,,,,,,,,,,,,,,,,,,,,,,"10,563.081",,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,,,
,"386,967.007","136,486.779","31,511.028","1,809.667",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,412.102,110.023,0.024,0.000,0.009,0.000,0.217,68.658,"557,365.513",,,91.850
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,897.769",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,897.769",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34,324.898",,,
