,CO2,CH4,N2O,HFC-23,HFC-410A,HFC-43-10mee,HFC-125,HFC-134,HFC-134a,HFC-404A,HFC-407C,HFC-507a,HFC-152a,HFC-227ea,HFC-236fa,HFC-365mfc/227ea,HFC-365mfc,HFC-245fa,HFC-32,CF4,C2F6,C3F8,C4F6,c-C4F8,C5F8,NF3,SF6,"EMISIONES NETAS
Gg en CO2e"," 
EMISIONES
(sin 3B y 3D)
Gg en CO2e",,
[3D] Otros,-9187.040777,,,,,,,,,,,,,,,,,,,,,,,,,,,-9187.040777,,,
[3D1] Productos de madera recolectada,-9187.040777,,,,,,,,,,,,,,,,,,,,,,,,,,,-9187.040777,,,
[3D2] Otros (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
[4] Residuos,1037.908596,50464.11712,2755.523401,,,,,,,,,,,,,,,,,,,,,,,,,54257.54911,,,1.538007729
[4A] Eliminación de residuos sólidos,,29028.88944,0,,,,,,,,,,,,,,,,,,,,,,,,,29028.88944,,,
[4A1] Sitios gestionados de eliminación de residuos (rellenos sanitarios),,14185.75102,,,,,,,,,,,,,,,,,,,,,,,,,,14185.75102,,,
[4A2] Sitios no controlados de eliminación de residuos ,,5321.690064,,,,,,,,,,,,,,,,,,,,,,,,,,5321.690064,,,
[4A3] Tiraderos a cielo abierto para eliminación de residuos,,9521.448348,,,,,,,,,,,,,,,,,,,,,,,,,,9521.448348,,,
[4B] Tratamiento biológico de los residuos sólidos,,90.96930314,64.57196071,,,,,,,,,,,,,,,,,,,,,,,,,155.5412639,,,
[4C] Incineración y quema a cielo abierto  de residuos,1037.908596,747.0436849,178.7004563,,,,,,,,,,,,,,,,,,,,,,,,,1963.652737,,,1.538007729
[4C1] Incineración de residuos peligrosos industriales y biológico infeccioso,54.96314391,0.093586509,2.105060662,,,,,,,,,,,,,,,,,,,,,,,,,57.16179108,,,
[4C2] Quema a cielo abierto de residuos sólidos,982.9454521,746.9500984,176.5953956,,,,,,,,,,,,,,,,,,,,,,,,,1906.490946,,,1.538007729
[4D] Tratamiento y eliminación de aguas residuales,,20597.21469,2512.250984,,,,,,,,,,,,,,,,,,,,,,,,,23109.46568,,,
[4D1] Tratamiento y eliminación de aguas residuales municipales,,4191.354013,2512.250984,,,,,,,,,,,,,,,,,,,,,,,,,6703.604997,,,
[4D2] Tratamiento y eliminación de aguas residuales industriales,,16405.86068,,,,,,,,,,,,,,,,,,,,,,,,,,16405.86068,,,
[4E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Total,295777.936,175558.4682,41190.82233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
